,Date,Team A,Team B,Player A,Player B,Score A,Score B
0,2020-03-27 00:42:00,bayern,psg,kray ,kraftvk,3,0
1,2020-03-27 00:31:00,napoli,tottenham,upcake22 ,labotryas,1,0
2,2020-03-27 00:30:00,psg,real madrid,kraftvk ,meltosik,0,0
3,2020-03-27 00:18:00,psg,tottenham,kraftvk ,labotryas,0,0
4,2020-03-27 00:18:00,bayern,real madrid,kray ,meltosik,1,2
5,2020-03-27 00:06:00,tottenham,bayern,labotryas ,kray,1,1
6,2020-03-27 00:06:00,napoli,psg,upcake22 ,kraftvk,1,0
7,2020-03-26 23:54:00,bayern,napoli,kray ,upcake22,0,1
8,2020-03-26 23:54:00,real madrid,tottenham,meltosik ,labotryas,0,1
9,2020-03-26 23:42:00,psg,bayern,kraftvk ,kray,0,2
10,2020-03-26 23:41:00,real madrid,napoli,meltosik ,upcake22,2,0
11,2020-03-26 23:31:00,real madrid,psg,meltosik ,kraftvk,4,2
12,2020-03-26 23:26:00,tottenham,napoli,labotryas ,upcake22,1,0
13,2020-03-26 23:19:00,napoli,real madrid,upcake22 ,meltosik,0,4
14,2020-03-26 23:18:00,man united,man city,meltosik ,kray,0,0
15,2020-03-26 23:18:00,arsenal,tottenham,labotryas ,kraftvk,1,2
16,2020-03-26 23:18:00,spain,portugal,fearggwp ,kalibra,0,2
17,2020-03-26 23:18:00,france,belgium,taka ,pashok75,1,0
18,2020-03-26 23:06:00,tottenham,liverpool,kraftvk ,upcake22,0,0
19,2020-03-26 23:06:00,man city,arsenal,kray ,labotryas,4,0
20,2020-03-26 23:06:00,portugal,germany,kalibra ,flewless_phoenix,1,1
21,2020-03-26 22:55:00,arsenal,man united,labotryas ,meltosik,3,1
22,2020-03-26 22:54:00,liverpool,man city,upcake22 ,kray,1,0
23,2020-03-26 22:54:00,spain,france,fearggwp ,taka,5,1
24,2020-03-26 22:54:00,germany,belgium,flewless_phoenix ,pashok75,4,3
25,2020-03-26 22:48:00,france,germany,taka ,flewless_phoenix,0,0
26,2020-03-26 22:42:00,man city,tottenham,kray ,kraftvk,3,1
27,2020-03-26 22:42:00,man united,liverpool,meltosik ,upcake22,3,1
28,2020-03-26 22:42:00,belgium,portugal,pashok75 ,kalibra,2,1
29,2020-03-26 22:30:00,liverpool,arsenal,upcake22 ,labotryas,1,1
30,2020-03-27 04:00:00,portugal,france,meltosik ,kraftvk,2,2
31,2020-03-27 03:55:00,belgium,spain,upcake22 ,labotryas,1,1
32,2020-03-27 03:48:00,chelsea,ajax,meltosik ,kray,2,1
33,2020-03-27 03:47:00,germany,belgium,kray ,upcake22,4,2
34,2020-03-27 03:45:00,spain,belgium,labotryas ,upcake22,0,0
35,2020-03-27 03:36:00,atletico madrid,dortmund,kraftvk ,upcake22,0,0
36,2020-03-27 03:36:00,ajax,inter,kray ,labotryas,0,2
37,2020-03-27 03:24:00,inter,chelsea,labotryas ,meltosik,0,2
38,2020-03-27 03:24:00,dortmund,ajax,upcake22 ,kray,2,1
39,2020-03-27 03:12:00,ajax,atletico madrid,kray ,kraftvk,0,1
40,2020-03-27 03:12:00,chelsea,dortmund,meltosik ,upcake22,0,0
41,2020-03-27 03:00:00,atletico madrid,chelsea,kraftvk ,meltosik,3,1
