,Date,R,Casa v Visitante,-
0,03/24 16:48,-,PSG (FEARGGWP) EsportsvNapoli (Kalibra) Esports,0-2
1,03/24 16:42,-,Leverkusen (BlackStar98) EsportsvAjax (mooneycb) Esports,0-1
2,03/24 16:42,-,Man United (Pablik) EsportsvPorto (Inquisitor) Esports,0-0
3,03/24 16:36,-,Bayern (PASHOK75) EsportsvPSG (FEARGGWP) Esports,0-3
4,03/24 16:36,-,Napoli (Kalibra) EsportsvTottenham (Flewless_phoenix) Esports,1-1
5,03/24 16:30,-,Ajax (mooneycb) EsportsvValencia (Chellovekk) Esports,1-1
6,03/24 16:28,-,Porto (Inquisitor) EsportsvLeverkusen (BlackStar98) Esports,0-0
7,03/24 16:24,-,Tottenham (Flewless_phoenix) EsportsvBayern (PASHOK75) Esports,1-1
8,03/24 16:24,-,PSG (FEARGGWP) EsportsvReal Madrid (taka) Esports,0-1
9,03/24 16:18,-,Man United (Pablik) EsportsvLeverkusen (BlackStar98) Esports,0-0
10,03/24 16:18,-,Porto (Inquisitor) EsportsvValencia (Chellovekk) Esports,0-1
11,03/24 16:12,-,Bayern (PASHOK75) EsportsvNapoli (Kalibra) Esports,3-2
12,03/24 16:11,-,Valencia (Chellovekk) EsportsvMan United (Pablik) Esports,0-2
13,03/24 16:06,-,Ajax (mooneycb) EsportsvPorto (Inquisitor) Esports,1-1
14,03/24 16:00,-,Napoli (Kalibra) EsportsvReal Madrid (taka) Esports,1-2
15,03/24 16:00,-,Tottenham (Flewless_phoenix) EsportsvPSG (FEARGGWP) Esports,1-1
16,03/24 15:54,-,Leverkusen (BlackStar98) EsportsvValencia (Chellovekk) Esports,1-2
17,03/24 15:54,-,Man United (Pablik) EsportsvAjax (mooneycb) Esports,1-1
18,03/24 15:48,-,Bayern (PASHOK75) EsportsvReal Madrid (taka) Esports,0-2
19,03/24 15:48,-,Napoli (Kalibra) EsportsvPSG (FEARGGWP) Esports,0-1
20,03/24 15:42,-,Porto (Inquisitor) EsportsvMan United (Pablik) Esports,0-0
21,03/24 15:42,-,Ajax (mooneycb) EsportsvLeverkusen (BlackStar98) Esports,1-2
22,03/24 15:36,-,PSG (FEARGGWP) EsportsvBayern (PASHOK75) Esports,3-1
23,03/24 15:36,-,Tottenham (Flewless_phoenix) EsportsvNapoli (Kalibra) Esports,3-0
24,03/24 15:30,-,Leverkusen (BlackStar98) EsportsvPorto (Inquisitor) Esports,0-2
